t,macro,phase,capacity_blocked,samples,elastic_energy,kinetic_energy,affine_kinetic_energy,total_energy,mass,grown_rest_area,max_speed,max_volumetric_pressure,min_elastic_det,min_triangle_area,inverted_triangles,min_triangle_quality,max_edge,min_weight,max_hardening
0.0,0,initial,0,40,0.0,0.0,0.0,0.0,50.00000059604645,2.020265648638997e-05,0.0,-0.0,1.0,3.695373642642604e-07,0,0.6193306435154042,0.001783800070510901,0.3658304810523987,1.0
0.0,0,refine,0,40,0.0,0.0,0.0,0.0,50.00000059604645,2.020265648638997e-05,0.0,-0.0,1.0,3.695373642642604e-07,0,0.6193306435154042,0.001783800070510901,0.3658304810523987,1.0
6.25e-05,0,physics,0,40,1.4276043118065762,0.007172560728905204,0.0704711681562091,1.5052480406916906,50.37623102619973,2.0354673567380042e-05,0.029519618553880106,19.67745534494176,0.9929161008754388,3.696231649641391e-07,0,0.619357019261306,0.0017841957972709575,0.3658304810523987,1.0000005364419469
0.000125,0,physics,0,40,4.328841128649383,0.11385108384758762,1.1147553355626367,5.557447548059608,50.75529399577953,2.0507835144776856e-05,0.11756712161664686,33.20567683330604,0.9880458922133505,3.7057378676763593e-07,0,0.6193260270608699,0.0017866502303294847,0.3658304810523987,1.0000014305124978
0.0001875,0,physics,0,40,5.995940014456178,0.47670769051323,4.62507626279912,11.097723967768527,51.137204866420774,2.0662147425496988e-05,0.24100134047125307,36.65223357243716,0.9868050496293922,3.729161974774794e-07,0,0.6193520817337616,0.0017926875208133654,0.3658304810523987,0.9999996423721953
0.00025,0,physics,0,40,5.056563959095497,1.1143088719056626,10.637306559149359,16.808179390150517,51.52199321587212,2.081762236052219e-05,0.36970462270692267,29.160670847101603,0.9895020233386288,3.767322453995806e-07,0,0.6192752795637941,0.0018026363436074208,0.3658304810523987,0.9999989271169696
0.0003125,0,physics,0,40,2.6295527662366114,1.8125298021727474,16.909948028079313,21.35203059648867,51.90967735046837,2.0974267346584276e-05,0.4732416253359597,13.09260365928232,0.995286591886054,3.817684852691627e-07,0,0.6191100778317442,0.0018158438100474338,0.3658304810523987,0.9999978542350902
0.000375,0,physics,0,40,1.0210273185623453,2.243136573726363,20.360194536785805,23.624358429074512,52.30027426038089,2.1132089248615043e-05,0.5272227254505507,-6.629223115063744,1.00238655958211,3.873743725790745e-07,0,0.6187738356513933,0.0018309431623483676,0.3658304810523987,0.9999964237277084
0.0004375,0,physics,0,40,1.4126079507426026,2.200953661703582,19.431242483396787,23.04480409584297,52.69381501188032,2.1291100619038258e-05,0.5193196649565457,-23.892560381194183,1.0086014570854787,3.926851643853979e-07,0,0.6184256209084577,0.001845528601194604,0.3658304810523987,0.9999982118622555
0.0005,0,physics,0,40,2.9022377805581865,1.7530503667477335,15.155091705732733,19.810379853038654,53.09031798203729,2.1451308883166733e-05,0.453460834174661,-33.26660805933908,1.0119762315977128,3.969428146177731e-07,0,0.6177820477055079,0.0018578315087847707,0.3658304810523987,0.9999974966080529
0.0005,1,refine,0,40,2.9022377805581865,1.7530503667477335,15.155091705732733,19.810379853038654,53.09031798203729,2.1451308883166733e-05,0.453460834174661,-33.26660805933908,1.0119762315977128,3.969428146177731e-07,0,0.6177820477055079,0.0018578315087847707,0.3658304810523987,0.9999974966080529
