t,macro,phase,capacity_blocked,samples,elastic_energy,kinetic_energy,affine_kinetic_energy,total_energy,mass,grown_rest_area,max_speed,max_volumetric_pressure,min_elastic_det,min_triangle_area,inverted_triangles,min_triangle_quality,max_edge,min_weight,max_hardening
0.0,0,initial,0,10,0.0,0.0,0.0,0.0,50.0,2.0202495988996816e-05,0.0,-0.0,1.0,2.0202199486618594e-06,0,0.8548107181185775,0.002621869394860768,0.49999263882637024,1.0
0.0,0,refine,0,10,0.0,0.0,0.0,0.0,50.0,2.0202495988996816e-05,0.0,-0.0,1.0,2.0202199486618594e-06,0,0.8548107181185775,0.002621869394860768,0.49999263882637024,1.0
6.25e-05,0,physics,0,10,1.432334892762504,0.00487734748505939,0.053852712816782326,1.4910649530643456,50.37631961606337,2.0354547899678835e-05,0.018671554373282377,19.71543968133876,0.992902439176433,2.020973806082793e-06,0,0.8547208150581564,0.0026226480196576978,0.49999263882637024,0.9999996423721953
0.000125,0,physics,0,10,4.319557193431013,0.09272403588569332,1.020815448077052,5.433096677393758,50.75546394986645,2.050774113733699e-05,0.08136222732090927,33.15941422320707,0.9880626023413563,2.0261874738025654e-06,0,0.8540682953371788,0.0026281781953629555,0.49999263882637024,0.9999996423721953
0.0001875,0,physics,0,10,5.910972171154741,0.4112890550173027,4.489668556302148,10.811929782474191,51.137468758057025,2.0662090149441944e-05,0.17161290150947048,36.30406982433643,0.9869305021451632,2.0390630766087244e-06,0,0.8524172589898104,0.0026418527626167337,0.49999263882637024,0.9999978542350902
0.00025,0,physics,0,10,4.859311521897288,0.9911527337196611,10.651271842527816,16.501736098144764,51.52234595539084,2.0817599750149803e-05,0.2672231598138008,28.266079276566465,0.9898241698935447,2.060424402650083e-06,0,0.8494887055488314,0.0026650913363580335,0.49999263882637024,0.9999992847445185
0.0003125,0,physics,0,10,2.4044587027374664,1.6430186560628945,17.26095688185852,21.30843424065888,51.910119377475894,2.0974279570236054e-05,0.34523750623194743,11.499235614241124,0.9958602574130635,2.0885817502147566e-06,0,0.8452323093989443,0.0026969836406900384,0.49999263882637024,0.9999992847445185
0.000375,0,physics,0,10,0.9631617001533701,2.0571353772759715,21.02318100793433,24.04347808536367,52.30081285985193,2.113213924044863e-05,0.3868332069558179,-8.863314192373606,1.0031908136494183,2.1197925486049493e-06,0,0.8398306370668076,0.002734579527938636,0.49999263882637024,0.9999974966080529
0.0004375,0,physics,0,10,1.6712065747599634,2.028741295242191,20.156205364713212,23.856153234715368,52.69443831712123,2.1291183574881638e-05,0.3820265236885631,-26.435357941106748,1.0095167594898748,2.1491325794542574e-06,0,0.8336849032431335,0.0027734533963118973,0.49999263882637024,0.9999971389811435
0.0005,0,physics,0,10,3.428147759840923,1.612045169108397,15.676023015711841,20.716215944661162,53.09103150557347,2.145142702086103e-05,0.33315095855377286,-35.55529258818702,1.0127999511078578,2.1723048018174028e-06,0,0.8273204484547533,0.002808916173734184,0.49999263882637024,0.9999978542350902
