t,samples,elastic_energy,kinetic_energy,affine_kinetic_energy,total_energy,mass,grown_rest_area,max_speed,max_volumetric_pressure,min_elastic_det,min_triangle_area,inverted_triangles,min_triangle_quality,max_edge,min_weight,max_hardening
0.0,16175,70795.62127821986,1519586.7037600584,632.8216030308674,1591015.1466413091,10148.364270212252,0.004100478295350015,40.511804273324785,269.2925119953162,0.9031427581951357,9.610016782346485e-09,0,0.006026837843132961,0.00402795437396968,5.812769813928753e-05,1.001009914279611
1.5625e-05,16175,69452.25184116428,1520922.846064372,623.304513167202,1590998.4024187033,10148.364270212252,0.004100478295350015,40.597031492200294,266.35449295724885,0.9041914103515302,9.743208018164759e-09,0,0.00602201800429252,0.004035475549391638,5.812769813928753e-05,1.001010272268717
3.125e-05,16175,68124.52833855669,1522242.8423898476,617.4181202115215,1590984.7888486157,10148.364270212252,0.004100478295350015,40.642387502500654,263.39928892568344,0.9052521226058993,9.876740314496151e-09,0,0.006004137444206783,0.004042639308630275,5.812769813928753e-05,1.0010161791074526
4.6875e-05,16175,66812.5051744867,1523547.459749573,612.765843571664,1590972.7307676312,10148.364270212252,0.004100478295350015,40.67734372444758,260.4448919722576,0.9063075307949731,9.868401651402795e-09,0,0.005969710108266266,0.0040498032528470986,5.812769813928753e-05,1.0010167160945205
6.25e-05,16175,65516.17505333037,1524837.8779625576,608.8221297243972,1590962.8751456123,10148.364270212252,0.004100478295350015,40.70469303899036,257.524052803583,0.9073583731377896,9.76274749930894e-09,0,0.005966569650718566,0.004057324979414817,5.812769813928753e-05,1.0010172530818766
7.8125e-05,16175,64235.47651288494,1526113.6390024112,605.3077325925178,1590954.4232478887,10148.364270212252,0.004100478295350015,40.726331631646424,254.62562064907064,0.9084013654705353,9.686064839087314e-09,0,0.005961844347890305,0.0040647276879229016,5.812769813928753e-05,1.0010176110736073
9.375e-05,16175,62970.25930965944,1527373.7787598209,602.1077376515389,1590946.145807132,10148.364270212252,0.004100478295350015,40.7427287933168,251.76690444496617,0.9094300796052546,9.804277834035713e-09,0,0.00594415242507162,0.004071892179564461,5.812769813928753e-05,1.0010226229712804
0.000109375,16175,61720.33211068515,1528618.7187274673,599.2171520937864,1590938.2679902462,10148.364270212252,0.004100478295350015,40.754182118974526,248.96755790450868,0.9104371887573824,9.809011825012675e-09,0,0.005902251161984043,0.004079176050743691,5.812769813928753e-05,1.0010272768987314
0.000125,16175,60485.43160006081,1529848.4065280408,596.7125108966146,1590930.5506389982,10148.364270212252,0.004100478295350015,40.76107693868753,246.2375089307944,0.9114194781170096,9.720258375978124e-09,0,0.005897635024802873,0.004086817695733605,5.812769813928753e-05,1.0010308568576478
0.00014062500000000002,16175,59265.268868962325,1531063.3869946743,594.7222687309234,1590923.3781323675,10148.364270212252,0.004100478295350015,40.763420894926746,243.58952754497827,0.912372475686269,9.784579813043587e-09,0,0.005893014176147699,0.004094161522710881,5.812769813928753e-05,1.0010319308478193
0.00015625,16175,58059.53000004738,1532263.5013555712,593.4044923291108,1590916.4358479476,10148.364270212252,0.004100478295350015,40.76161073733121,241.04184377181778,0.913289675190525,9.86264447888628e-09,0,0.0058835502020581,0.004101326730719894,5.812769813928753e-05,1.0010369428171886
0.000171875,16175,56867.909633560485,1533448.9022609151,592.9236735560291,1590909.7355680317,10148.364270212252,0.004100478295350015,40.755841029266904,238.60190425047156,0.9141684019539505,9.77081748843034e-09,0,0.005834956405518589,0.004108790108714691,5.812769813928753e-05,1.0010407018106835
0.0001875,16175,55690.119000533494,1534619.161384607,593.429627005354,1590902.7100121458,10148.364270212252,0.004100478295350015,40.746611505760825,236.27919277255455,0.9150045030463952,9.835465775154277e-09,0,0.005830445108084197,0.004116432456387669,5.812769813928753e-05,1.001047503834793
0.00020312500000000002,16175,54525.89478796022,1535774.6354555972,595.039624786436,1590895.5698683439,10148.364270212252,0.004100478295350015,40.73396029014294,234.08584176470205,0.915796330478369,9.885480434235202e-09,0,0.005825929084165137,0.004123776985696076,5.812769813928753e-05,1.0010544849075966
0.00021875,16175,53375.04000819272,1536915.1881746175,597.8240329884869,1590888.0522157985,10148.364270212252,0.004100478295350015,40.717544033482206,232.02034893580495,0.9165411416420791,9.793347910402855e-09,0,0.005825868188680022,0.004130942894403383,5.812769813928753e-05,1.001058243966964
0.000234375,16175,52237.412282242454,1538041.6256363767,601.7909927403175,1590880.8289113594,10148.364270212252,0.004100478295350015,40.69765264866349,230.08952414372297,0.9172363352349663,9.85828751964844e-09,0,0.0058262277866514955,0.004138526161450171,5.812769813928753e-05,1.0010611080216705
0.00025,16175,51112.93891249431,1539154.5338452104,606.8862675719154,1590874.3590252767,10148.364270212252,0.004100478295350015,40.67431663561674,228.2963082979323,0.9178815788416377,9.927239030815841e-09,0,0.005783535494626219,0.004146169196240876,5.812769813928753e-05,1.00106755217472
0.000265625,16175,50001.65268483716,1540252.4216034699,612.9847747432411,1590867.0590630502,10148.364270212252,0.004100478295350015,40.64817685597849,226.64104912788508,0.9184772980017535,9.819037583014295e-09,0,0.0057077004903183905,0.004153574010021462,5.812769813928753e-05,1.0010680891893466
0.00028125000000000003,16175,48903.663908414914,1541336.2134304608,619.891811097968,1590859.7691499738,10148.364270212252,0.004100478295350015,40.61995428796822,225.12040240272432,0.9190245636606478,9.785659838001941e-09,0,0.005710353775328081,0.0041607406041159,5.812769813928753e-05,1.0010716692942194
0.000296875,16175,47819.148824347576,1542405.952452855,627.35443310406,1590852.4557103068,10148.364270212252,0.004100478295350015,40.589133919338146,223.7307390834435,0.9195244664281976,9.91729409705043e-09,0,0.0057060416548422735,0.004168384144795828,5.812769813928753e-05,1.0010781135152553
0.0003125,16175,46748.34973291437,1543461.445982376,635.0717539438551,1590844.8674692344,10148.364270212252,0.004100478295350015,40.5560018574028,222.46404293831395,0.9199801519264293,9.910381404409913e-09,0,0.005701724696374851,0.004176027851528648,5.812769813928753e-05,1.0010829467082558
0.000328125,16175,45691.55401838807,1544503.1578784746,642.7112652162042,1590837.4231620787,10148.364270212252,0.004100478295350015,40.520416935209404,221.30923348303136,0.920395762207097,9.817360702157876e-09,0,0.005700735683284212,0.004183552530018958,5.812769813928753e-05,1.0010868848827685
0.00034375,16175,44649.06341127049,1545530.529783904,649.9225511689685,1590829.5157463436,10148.364270212252,0.004100478295350015,40.48254698248633,220.2619255663818,0.920772319745897,9.739077988513117e-09,0,0.005702196907389138,0.00419077939103613,5.812769813928753e-05,1.0010918971272817
0.000359375,16175,43621.20395676744,1546543.9570435244,656.354106880107,1590821.5151071718,10148.364270212252,0.004100478295350015,40.442826871460845,219.30573266075083,0.921116330541784,9.78068204204874e-09,0,0.005697886987002298,0.004198423592251295,5.812769813928753e-05,1.0010942242493361
0.000375,16175,42608.27941182991,1547543.741791104,661.6795235570805,1590813.7007264912,10148.364270212252,0.004100478295350015,40.401664761518646,218.42616458534485,0.9214326244681404,9.91760717994338e-09,0,0.005695251437600908,0.0042060679559325475,5.812769813928753e-05,1.0010918971272817
0.000390625,16175,41610.55806660742,1548529.3226837765,665.6078396942457,1590805.4885900782,10148.364270212252,0.004100478295350015,40.35913693355798,217.60675334090348,0.9217275187159809,1.005487337835119e-08,0,0.005695537560062478,0.0042136528852896185,5.812769813928753e-05,1.0010960143469054
0.00040625000000000004,16175,40628.25985143981,1549501.4860280165,667.9107059937099,1590797.65658545,10148.364270212252,0.004100478295350015,40.31455288331788,216.83539642002802,0.9220049176465112,1.0182193310726008e-08,0,0.005694546105304386,0.004220880401522206,5.812769813928753e-05,1.0010965513768004
0.000421875,16175,39661.54819621267,1550459.3994878624,668.4245975783136,1590789.3722816533,10148.364270212252,0.004100478295350015,40.267904961842454,216.1193404923861,0.9222590613392316,1.0303543351852807e-08,0,0.005690240042484225,0.004228525248934984,5.812769813928753e-05,1.0011004896048326
0.0004375,16175,38710.50182655475,1551403.3867623839,667.0637163094609,1590780.952305248,10148.364270212252,0.004100478295350015,40.2195059720343,215.45874764661147,0.9224968514845919,1.0424335172842816e-08,0,0.005585558131675985,0.004236170255327129,5.812769813928753e-05,1.0011004896048326
0.000453125,16175,37775.12821394679,1552333.564385544,663.8278333100884,1590772.5204328008,10148.364270212252,0.004100478295350015,40.162886893802,214.7994917825306,0.9227340906011048,1.0558077079281232e-08,0,0.005582351323866086,0.0042438154198394615,5.812769813928753e-05,1.0011033537804048
0.00046875,16175,36855.2748387209,1553225.616044486,658.7323557662717,1590739.623238973,10148.364270212252,0.004100478295350015,40.040895720282045,214.12166673578153,0.9229784080739056,1.0696803443011036e-08,0,0.005578240317830849,0.004251102633151962,5.812769813928753e-05,1.001105143894299
0.000484375,16175,35949.682651861614,1553883.76585782,655.6576353216118,1590489.106145003,10148.364270212252,0.004100478295350015,39.784687312746726,213.41272096855906,0.9232335323976985,1.0835870867254006e-08,0,0.0055749833920139625,0.004258743755621152,5.812769813928753e-05,1.0011067549995405
0.0005,16175,35056.29117395823,1554123.506524134,673.0231391718999,1589852.8208372642,10148.364270212252,0.004100478295350015,39.67592531221313,212.65545129013012,0.9235059017286561,1.0903185021504647e-08,0,0.0055743079057891986,0.004266384956024963,5.812769813928753e-05,1.001114094511784
